Price,Close,High,Low,Open,Volume,Log_Return,Realized_Vol,GARCH_Vol
2010-02-03,4931.85009765625,4949.14990234375,4831.0,4831.0,0,0.0208469994132577,0.1801377646414997,0.19009162553570183
2010-02-04,4845.35009765625,4931.2998046875,4832.35009765625,4931.2998046875,0,-0.0176946887051239,0.1820760449984021,0.2049133856222964
2010-02-05,4718.64990234375,4827.0,4692.35009765625,4819.64990234375,0,-0.0264967812684455,0.1968535262639044,0.21161497986030547
2010-02-08,4760.39990234375,4799.0498046875,4675.39990234375,4755.35009765625,0,0.0088089567699925,0.2028560625179396,0.23511838565661133
2010-02-09,4792.64990234375,4810.39990234375,4739.35009765625,4760.5498046875,0,0.0067517961642943,0.2067423846644431,0.22791435534448787
2010-02-10,4757.2001953125,4826.85009765625,4748.10009765625,4793.0,0,-0.007424173049006,0.2061228180215572,0.2197216702671199
2010-02-11,4826.85009765625,4843.7998046875,4757.25,4757.25,0,0.0145348002982618,0.2162310838463913,0.2125164901371923
2010-02-15,4801.9501953125,4845.60009765625,4783.89990234375,4827.89990234375,0,-0.0051719751351667,0.2142243997397059,0.21343831331995905
2010-02-16,4855.75,4880.0,4791.35009765625,4801.7998046875,0,0.0111414436398691,0.2185529610540862,0.20524326355102307
2010-02-17,4914.0,4929.7001953125,4857.60009765625,4858.64990234375,0,0.0119247043688822,0.2251822939935712,0.20254882613480388
2010-02-18,4887.75,4922.0498046875,4873.7001953125,4915.10009765625,0,-0.0053561992005249,0.2236241105714442,0.2010099818587427
2010-02-19,4844.89990234375,4887.2998046875,4805.5498046875,4887.2998046875,0,-0.0088054897601234,0.2234496485773746,0.19368974065868577
2010-02-22,4856.39990234375,4912.0498046875,4845.89990234375,4849.35009765625,0,0.0023708174405699,0.2242127779475169,0.1894998699700024
2010-02-23,4870.0498046875,4884.10009765625,4833.14990234375,4856.60009765625,0,0.0028067612985113,0.2112019192143336,0.18161968869614506
2010-02-24,4858.60009765625,4880.5498046875,4834.64990234375,4869.5498046875,0,-0.0023538132079058,0.208465942569256,0.17433462719512327
2010-02-25,4859.75,4880.14990234375,4835.60009765625,4859.0,0,0.0002366455905705,0.2080740965069479,0.1673445398736877
